iter	Passed	Remaining
398	120525	30509
399	120820	30205
400	121127	29904
401	121415	29598
402	121714	29296
403	122012	28992
404	122314	28691
405	122613	28388
406	122915	28086
407	123209	27782
408	123508	27479
409	123802	27176
410	124102	26873
411	124407	26572
412	124709	26270
413	125011	25968
414	125307	25665
415	125608	25363
416	125908	25060
417	126212	24759
418	126496	24454
419	126798	24152
420	127097	23849
421	127396	23547
422	127698	23245
423	127993	22942
424	128292	22639
425	128595	22338
426	128898	22036
427	129193	21733
428	129510	21434
429	129821	21133
430	130123	20831
431	130427	20530
432	130728	20228
433	131028	19925
434	131335	19624
435	131624	19321
436	131932	19019
437	132224	18716
438	132525	18414
439	132832	18113
440	133135	17811
441	133431	17509
442	133734	17207
443	134028	16904
444	134337	16603
445	134634	16301
446	134940	15999
447	135232	15696
448	135530	15394
449	135830	15092
450	136133	14790
451	136451	14490
452	136728	14185
453	137037	13884
454	137367	13585
455	137668	13283
456	137982	12983
457	138293	12681
458	138593	12379
459	138905	12078
460	139204	11776
461	139534	11476
462	139814	11173
463	140112	10870
464	140417	10569
465	140701	10265
466	141015	9964
467	141304	9661
468	141482	9351
469	141782	9049
470	142085	8748
471	142388	8446
472	142767	8149
473	143091	7848
474	143460	7550
475	143801	7250
476	144214	6953
477	144539	6652
478	144849	6350
479	145224	6051
480	145512	5747
481	145964	5450
482	146271	5148
483	146568	4845
484	146867	4542
485	147165	4239
486	147465	3936
487	147767	3633
488	148067	3330
489	148365	3027
490	148666	2725
491	148965	2422
492	149264	2119
493	149566	1816
494	149882	1513
495	150184	1211
496	150479	908
497	150781	605
498	151074	302
499	151386	0
