iter	MultiClass
0	1.06873327
1	1.045017745
2	1.019630553
3	1.005311352
4	0.9907626003
5	0.9736659728
6	0.9565943929
7	0.9432974136
8	0.9312308367
9	0.9172638798
10	0.9021323068
11	0.8892174692
12	0.879896541
13	0.8602130738
14	0.8436088045
15	0.8326760506
16	0.8177057788
17	0.8005113275
18	0.7893466296
19	0.7817747332
20	0.7696566652
21	0.7621305548
22	0.7526628807
23	0.7400877413
24	0.7315025144
25	0.7216848645
26	0.7121909109
27	0.6999914149
28	0.6872588547
29	0.6799751451
30	0.670596036
31	0.6573524788
32	0.6511275562
33	0.6403140148
34	0.630906208
35	0.6233508778
36	0.6166659671
37	0.6071082191
38	0.5970088833
39	0.5911377546
40	0.5812077877
41	0.572451927
42	0.5638785043
43	0.5570456318
44	0.5494765244
45	0.540931138
46	0.536863569
47	0.5286990857
48	0.5218216809
49	0.5137965932
50	0.5087400806
51	0.4986466691
52	0.4929335881
53	0.4888295359
54	0.4821980389
55	0.4765959175
56	0.4716907972
57	0.4678216169
58	0.4616748066
59	0.4569535382
60	0.4517809659
61	0.443977006
62	0.4389320639
63	0.4349656842
64	0.4305904201
65	0.425143738
66	0.4185471639
67	0.4157225158
68	0.4112665048
69	0.4058962482
70	0.401873949
71	0.3979873334
72	0.3935627297
73	0.3897366997
74	0.3870770144
75	0.3832047951
76	0.3800343025
77	0.3759038702
78	0.3729528722
79	0.3698516882
80	0.366120512
81	0.3631819844
82	0.3607835019
83	0.3566778638
84	0.352997596
85	0.3500818553
86	0.3478030213
87	0.3446343702
88	0.3418023167
89	0.3384997867
90	0.3355246674
91	0.332901374
92	0.3295818439
93	0.3266319951
94	0.3238866638
95	0.3216531551
96	0.3192103263
97	0.3163806828
98	0.3136875633
99	0.3099903662
100	0.3070019658
101	0.3045886412
102	0.30181587
103	0.2993922438
104	0.2973308376
105	0.2957949776
106	0.2935323467
107	0.2918469997
108	0.2891640446
109	0.2868293926
110	0.2847453965
111	0.2819992392
112	0.2796664053
113	0.2778140147
114	0.2762857052
115	0.273762183
116	0.2714922921
117	0.2701748045
118	0.2676796536
119	0.2657399827
120	0.264147241
121	0.2626177178
122	0.2607714306
123	0.2589981713
124	0.2573923819
125	0.2553210032
126	0.2531194191
127	0.2517841868
128	0.2500189332
129	0.2478890673
130	0.2454123047
131	0.2436322578
132	0.2424868197
133	0.2403377128
134	0.2383513033
135	0.2370057126
136	0.2356653828
137	0.2345164142
138	0.2326154237
139	0.230878662
140	0.2291390948
141	0.2272592492
142	0.2243521915
143	0.2231664361
144	0.2219979315
145	0.2208099615
146	0.2193764445
147	0.2181489687
148	0.2166548882
149	0.2145957808
150	0.2131993114
151	0.2119001085
152	0.210600031
153	0.208195308
154	0.2069819525
155	0.2061326328
156	0.2050457781
157	0.2038882512
158	0.2026066876
159	0.2014746557
160	0.2007733923
161	0.1999057743
162	0.1982484679
163	0.1967117939
164	0.195812509
165	0.1947417921
166	0.1940416288
167	0.1929029954
168	0.1916286382
169	0.1906732591
170	0.189647806
171	0.1887782678
172	0.1878629246
173	0.1869456772
174	0.1855589819
175	0.1844608113
176	0.1831952976
177	0.1820787141
178	0.1809777147
179	0.1802809757
180	0.1792632462
181	0.1776139222
182	0.1766852067
183	0.1758733348
184	0.1750673016
185	0.1739125121
186	0.1727741354
187	0.1716786137
188	0.1706518229
189	0.1696646057
190	0.169131457
191	0.1682546475
192	0.1673286926
193	0.1666640329
194	0.1658421733
195	0.1652371141
196	0.1644733731
197	0.1636307775
198	0.1628900567
199	0.1621425095
200	0.1612929254
201	0.1605699126
202	0.1599612349
203	0.1588940263
204	0.1581212925
205	0.1575402359
206	0.1566708247
207	0.1561231437
208	0.1548481154
209	0.1538757845
210	0.1529991757
211	0.1524859776
212	0.1519404402
213	0.1513692897
214	0.1506973507
215	0.1496926602
216	0.1491428631
217	0.1486523824
218	0.1481804067
219	0.1473169381
220	0.1468446695
221	0.1460026671
222	0.1453167863
223	0.1447395448
224	0.1441176502
225	0.1431591345
226	0.1424392256
227	0.1419569634
228	0.1415082479
229	0.1410658834
230	0.1404889439
231	0.1399721218
232	0.1393717253
233	0.1386202658
234	0.1381037338
235	0.1376867018
236	0.1372479204
237	0.1368980684
238	0.136220332
239	0.1356606335
240	0.1352026004
241	0.1347365414
242	0.1338048556
243	0.1332476914
244	0.1327735152
245	0.132407954
246	0.1318734708
247	0.1315399377
248	0.1311159108
249	0.1305774296
250	0.13009375
251	0.1297814923
252	0.1291622442
253	0.128631376
254	0.1280723614
255	0.1271853098
256	0.1265337852
257	0.1262062131
258	0.1255928891
259	0.1252203629
260	0.1247618779
261	0.1242323476
262	0.123684154
263	0.1232417937
264	0.122650577
265	0.1222967189
266	0.1217812733
267	0.1213194294
268	0.1208915456
269	0.1203575071
270	0.1199258398
271	0.1193655326
272	0.1184221955
273	0.1180077463
274	0.1173226338
275	0.1169291428
276	0.116546881
277	0.1161372351
278	0.1157013488
279	0.1151947087
280	0.1148367948
281	0.1144240986
282	0.1140014404
283	0.1137226824
284	0.1134530775
285	0.112951331
286	0.1126306821
287	0.1122629125
288	0.1119482113
289	0.1115007203
290	0.1112149922
291	0.1108844784
292	0.1105293462
293	0.110111277
294	0.1096438445
295	0.10921023
296	0.1089029052
297	0.1082025541
298	0.1077623978
299	0.1074426118
300	0.107197093
301	0.1068616478
302	0.1064816858
303	0.1061965101
304	0.1059098406
305	0.1055944381
306	0.1052271373
307	0.1048259087
308	0.1045514113
309	0.1042192302
310	0.1039106847
311	0.1035422592
312	0.103181111
313	0.1029025576
314	0.1026637826
315	0.1023085751
316	0.101967074
317	0.1016056179
318	0.1013663854
319	0.1008747201
320	0.1006042744
321	0.1003735228
322	0.1000880358
323	0.09986108341
324	0.09946976439
325	0.09926334113
326	0.09898791146
327	0.09853828053
328	0.09826753932
329	0.09790566512
330	0.0976892874
331	0.09742554213
332	0.0970314396
333	0.09679057874
334	0.09652726094
335	0.09623649999
336	0.09602883533
337	0.09577034041
338	0.09532122943
339	0.09509989648
340	0.09462031547
341	0.0942643046
342	0.09378267321
343	0.09347325936
344	0.09315989121
345	0.09294517017
346	0.09259646267
347	0.09230068163
348	0.0920929219
349	0.09191223855
350	0.09168941218
351	0.09150767485
352	0.0912553331
353	0.09100960526
354	0.0907977791
355	0.09015296181
356	0.08997081244
357	0.08969968212
358	0.08948731406
359	0.08925211479
360	0.08907117466
361	0.08873581188
362	0.0884592856
363	0.08818929578
364	0.08788152801
365	0.08759988008
366	0.08720386997
367	0.08691898287
368	0.08668743903
369	0.08641005585
370	0.08623240696
371	0.08593666879
372	0.08576293658
373	0.08559925082
374	0.08543819293
375	0.08526437448
376	0.08501563277
377	0.08473536451
378	0.08449566153
379	0.08428256289
380	0.08411370885
381	0.08395213471
382	0.08375743833
383	0.08353923244
384	0.08332876912
385	0.08318893517
386	0.082865728
387	0.08262821362
388	0.08244002217
389	0.08222974027
390	0.08198756193
391	0.08171194977
392	0.08150874651
393	0.08134968115
394	0.08098599434
395	0.08075465956
396	0.08056063571
397	0.08034584652
398	0.08018507168
399	0.07989753344
400	0.079629335
401	0.07925200236
402	0.078992916
403	0.07881992669
404	0.07869579314
405	0.07849405965
406	0.0782415083
407	0.0780129948
408	0.0777748927
409	0.07757229411
410	0.07739866663
411	0.07723489365
412	0.07703805271
413	0.07688067949
414	0.07665791651
415	0.07642151769
416	0.0761624254
417	0.07591857529
418	0.07562533337
419	0.07548773312
420	0.07530386136
421	0.07512755819
422	0.07494132743
423	0.07471963725
424	0.07452039648
425	0.07436178236
426	0.07416258909
427	0.07397916912
428	0.07382069664
429	0.07363583675
430	0.07347090751
431	0.07323637648
432	0.07307431527
433	0.07282920942
434	0.07268887802
435	0.07255373554
436	0.07238373162
437	0.07223531317
438	0.07203820462
439	0.07188608806
440	0.07167448329
441	0.07155430008
442	0.07137877741
443	0.07124719472
444	0.07112209628
445	0.07096758909
446	0.07080716567
447	0.07064987911
448	0.07046992186
449	0.07037610281
450	0.07024144173
451	0.07007318282
452	0.06995022457
453	0.06976490997
454	0.06955836965
455	0.06940372604
456	0.06927610158
457	0.06914737373
458	0.06905507382
459	0.06886639666
460	0.06870740267
461	0.06857925416
462	0.06840358715
463	0.0682745535
464	0.06807738259
465	0.06793732841
466	0.06779782477
467	0.06767553635
468	0.06750821509
469	0.06740978904
470	0.06720865944
471	0.06711152515
472	0.06688708793
473	0.06675982289
474	0.06658923733
475	0.06640727423
476	0.06629847277
477	0.06613226979
478	0.06588336478
479	0.06577435963
480	0.06564699074
481	0.06556802781
482	0.06542007411
483	0.06513877244
484	0.06492531161
485	0.06480964758
486	0.0646440474
487	0.06453832453
488	0.06440171676
489	0.06428454281
490	0.06413066113
491	0.06400494738
492	0.06388629775
493	0.06371439103
494	0.06359711587
495	0.06349828726
496	0.06330579166
497	0.06320830745
498	0.06310480462
499	0.06298036944
500	0.06279829479
501	0.06266604197
502	0.0625138418
503	0.06239829656
504	0.06226326213
505	0.062162054
506	0.06201350546
507	0.06190198101
508	0.06180645237
509	0.06172050399
510	0.06162671831
511	0.06148710989
512	0.0613143073
513	0.06118593165
514	0.06108194907
515	0.06098255013
516	0.06086910549
517	0.0607642962
518	0.06063887161
519	0.06052839383
520	0.06040612891
521	0.06032462345
522	0.06022222337
523	0.05996662812
524	0.05986243207
525	0.05974211097
526	0.05960009974
527	0.05941547113
528	0.0592985757
529	0.05918909689
530	0.05908581718
531	0.05898527892
532	0.05887670263
533	0.05867794437
534	0.05859540223
535	0.0584808673
536	0.05838195922
537	0.05817053062
538	0.05806346597
539	0.05794788714
540	0.05782753905
541	0.05774841232
542	0.05764176894
543	0.05751633475
544	0.05744354031
545	0.05732740944
546	0.05719059474
547	0.05711897815
548	0.05697456456
549	0.05689207797
550	0.05669898515
551	0.05658973616
552	0.05646455955
553	0.05633582274
554	0.05624300299
555	0.05616341037
556	0.05605206923
557	0.05595826608
558	0.05587759543
559	0.05577168364
560	0.05564826725
561	0.05555731864
562	0.05543366909
563	0.05534620678
564	0.05523308541
565	0.0550910762
566	0.0550035851
567	0.05492111473
568	0.05486494948
569	0.05478787503
570	0.05461272641
571	0.05453305191
572	0.05442152933
573	0.05431419282
574	0.05422212942
575	0.05410200225
576	0.05399033565
577	0.05387206093
578	0.05379484287
579	0.05369970099
580	0.05354254373
581	0.05349198952
582	0.05342167318
583	0.05332002463
584	0.05325950864
585	0.05316435965
586	0.05308779027
587	0.0528842738
588	0.05277770858
589	0.0526813545
590	0.05255335089
591	0.0524321755
592	0.05232026492
593	0.0521970672
594	0.05211691386
595	0.05195485066
596	0.05186823709
597	0.05163548324
598	0.05155598596
599	0.05147376472
600	0.05140693044
601	0.05132332835
602	0.05124223809
603	0.05116164918
604	0.0510813681
605	0.05090094996
606	0.05080476851
607	0.05072552604
608	0.05060400281
609	0.05052840811
610	0.05045500385
611	0.05038189186
612	0.05028824755
613	0.05023332304
614	0.05013512726
615	0.0500688829
616	0.04994596588
617	0.04984420184
618	0.049739451
619	0.04965388379
620	0.04956502548
621	0.04948554608
622	0.04933977018
623	0.04926941083
624	0.04921892793
625	0.04914796714
626	0.04901725895
627	0.04894896278
628	0.04885714136
629	0.04878171349
630	0.04866664186
631	0.04861598569
632	0.04855581353
633	0.04849309328
634	0.04841298805
635	0.04834490607
636	0.04825445852
637	0.04818718017
638	0.0481328054
639	0.04807510811
640	0.0479383252
641	0.04787239232
642	0.04776556736
643	0.04769167591
644	0.04763862135
645	0.04756968346
646	0.04752072311
647	0.04746787702
648	0.04737120375
649	0.04729765972
650	0.04725078867
651	0.0471871313
652	0.0471239547
653	0.04703955003
654	0.04697815644
655	0.04690945498
656	0.04682723205
657	0.04677595455
658	0.04672753152
659	0.04667170245
660	0.04657922772
661	0.0465001677
662	0.0464218856
663	0.04637019672
664	0.04631416533
665	0.04624040895
666	0.04615281724
667	0.04606070317
668	0.04599948063
669	0.04593510548
670	0.04586228423
671	0.0457588558
672	0.04570298918
673	0.04561932816
674	0.04554806101
675	0.04548970198
676	0.0454296598
677	0.04538617332
678	0.04533063346
679	0.04527453735
680	0.04517739274
681	0.04511778376
682	0.04504027871
683	0.04495921462
684	0.04487732236
685	0.04482690812
686	0.04474605004
687	0.0446506629
688	0.04459630172
689	0.04452724628
690	0.04443721023
691	0.04437038806
692	0.04430569107
693	0.04426041744
694	0.04419157941
695	0.04414222984
696	0.04407913981
697	0.04402193265
698	0.04396101747
699	0.04382183506
700	0.04375039321
701	0.04368754516
702	0.04360857434
703	0.04356273977
704	0.04348748364
705	0.04343615612
706	0.04338646677
707	0.04332298482
708	0.04326210945
709	0.0431989851
710	0.04305001553
711	0.04300243834
712	0.04294937436
713	0.04288716988
714	0.04283090498
715	0.0427547812
716	0.04268594566
717	0.04264319514
718	0.04256835727
719	0.04245265501
720	0.04240950844
721	0.04236168972
722	0.04230346914
723	0.04221633317
724	0.04216721308
725	0.04210911501
726	0.0420169616
727	0.04194390169
728	0.04186398568
729	0.04179653675
730	0.04173400424
731	0.04166518498
732	0.04160665708
733	0.04153565876
734	0.04148167432
735	0.04139492571
736	0.0413144729
737	0.04125267425
738	0.04119507977
739	0.04114012106
740	0.04109070936
741	0.0409837677
742	0.04093526221
743	0.04088010204
744	0.04080583946
745	0.04075961841
746	0.04069093699
747	0.04064507387
748	0.04058623894
749	0.04053018427
750	0.04048455722
751	0.04041204127
752	0.04036540426
753	0.0403194691
754	0.04028297673
755	0.04022872805
756	0.04015131017
757	0.04009678449
758	0.0400309581
759	0.03993308927
760	0.03989180732
761	0.03983805154
762	0.03978879442
763	0.03973812341
764	0.03967648449
765	0.03959206304
766	0.03955236925
767	0.03951169995
768	0.03946905032
769	0.03942154387
770	0.0393681579
771	0.03931994938
772	0.03926573603
773	0.03922577917
774	0.03915241147
775	0.03909392229
776	0.03905488868
777	0.03900985758
778	0.03898281335
779	0.03892996151
780	0.038860813
781	0.038803109
782	0.03872683862
783	0.03868200654
784	0.03862923854
785	0.03859013045
786	0.03853634827
787	0.03847718126
788	0.03841712836
789	0.03838152775
790	0.03833840412
791	0.03827369741
792	0.03822283327
793	0.03817175247
